,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88990,0,10,3,1,10,12600,1,1,13650.0,1,0,0,0
88991,0,4,1,0,4,0,0,1,13588.846153846154,0,0,0,0
88992,0,50,20,2,50,165100,1,0,26168.0,1,0,0,0
88993,1,5,2,0,5,0,0,1,10733.333333333334,1,0,0,0
88994,0,6,0,-1,6,0,0,1,10733.333333333334,1,0,0,0
88995,0,9,3,1,9,0,0,1,10733.333333333334,1,0,0,0
88996,0,68,15,1,68,69300,1,1,15000.0,1,0,0,0
88997,0,8,3,1,8,10000,0,1,8400.0,1,0,0,0
88998,1,23,5,4,23,49900,0,1,890.7407407407408,0,0,1,0
88999,0,6,0,-1,6,0,0,1,890.7407407407408,0,0,1,0
89000,0,9,2,0,9,0,1,1,890.7407407407408,0,0,1,0
89001,0,7,2,0,7,0,1,1,890.7407407407408,0,0,1,0
89002,0,6,2,0,6,0,0,1,890.7407407407408,0,0,1,0
89003,0,9,2,0,9,0,1,1,890.7407407407408,0,0,1,0
89004,0,15,4,0,15,0,1,1,890.7407407407408,0,0,1,0
89005,0,9,3,0,9,0,1,1,890.7407407407408,0,0,1,0
89006,1,7,2,0,7,0,1,1,890.7407407407408,0,0,1,0
89007,1,7,2,0,7,0,1,1,890.7407407407408,0,0,1,0
89008,0,6,1,0,6,0,1,1,890.7407407407408,0,0,1,0
89009,0,6,1,0,6,0,1,1,890.7407407407408,0,0,1,0
89010,0,6,1,0,6,0,1,1,890.7407407407408,0,0,1,0
89011,1,6,1,0,6,0,1,1,890.7407407407408,0,0,1,0
89012,1,6,1,0,6,0,1,1,890.7407407407408,0,0,1,0
89013,0,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89014,0,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89015,1,5,0,-1,5,0,1,1,890.7407407407408,0,0,1,0
89016,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89017,0,4,0,-1,4,0,0,1,890.7407407407408,0,0,1,0
89018,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89019,0,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89020,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89021,0,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89022,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89023,0,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89024,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89025,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89026,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89027,1,4,0,-1,4,0,1,1,890.7407407407408,0,0,1,0
89028,0,9,1,0,9,0,0,1,890.7407407407408,0,0,1,0
89029,0,11,2,0,11,0,0,1,890.7407407407408,0,0,1,0
89030,0,33,7,2,33,59100,1,1,18229.166666666664,1,0,0,0
89031,0,14,1,0,14,59840,0,1,32188.166666666668,1,0,0,0
89032,0,11,1,0,11,15000,0,1,10021.25,0,0,0,0
89033,0,10,0,-1,10,0,0,1,13000.0,1,0,0,0
89034,0,7,1,0,7,0,1,1,26828.541666666664,1,0,0,0
89035,0,15,3,1,15,31500,0,1,26828.541666666664,1,0,0,0
